"2017-06-26","330682000000091","2014-01","8","water"
"2017-06-26","330682000000091","2014-02","33","water"
"2017-06-26","330682000000091","2014-03","0","water"
"2017-06-26","330682000000091","2014-04","30","water"
"2017-06-26","330682000000091","2014-05","27","water"
"2017-06-26","330682000000091","2014-06","14","water"
"2017-06-26","330682000000091","2014-07","145","water"
"2017-06-26","330682000000091","2014-08","31","water"
"2017-06-26","330682000000091","2014-09","0","water"
"2017-06-26","330682000000091","2014-10","0","water"
"2017-06-26","330682000000091","2014-11","36","water"
"2017-06-26","330682000000091","2014-12","1704","water"
"2017-06-26","330682000000091","2015-01","471","water"
"2017-06-26","330682000000091","2015-02","183","water"
"2017-06-26","330682000000091","2015-03","143","water"
"2017-06-26","330682000000091","2015-04","345","water"
"2017-06-26","330682000000091","2015-05","346","water"
"2017-06-26","330682000000091","2015-06","307","water"
"2017-06-26","330682000000091","2015-07","272","water"
"2017-06-26","330682000000091","2015-08","234","water"
"2017-06-26","330682000000091","2015-09","0","water"
"2017-06-26","330682000000091","2015-10","0","water"
"2017-06-26","330682000000091","2015-11","140","water"
"2017-06-26","330682000000091","2015-12","15","water"
"2017-06-26","330682000000091","2016-01","16","water"
"2017-06-26","330682000000091","2016-02","17","water"
"2017-06-26","330682000000091","2016-03","0","water"
"2017-06-26","330682000000091","2016-04","233","water"
"2017-06-26","330682000000091","2016-05","260","water"
"2017-06-26","330682000000091","2016-06","297","water"
"2017-06-26","330682000000091","2016-07","298","water"
"2017-06-26","330682000000091","2016-08","0","water"
"2017-06-26","330682000000091","2016-09","0","water"
"2017-06-26","330682000000091","2016-10","0","water"
"2017-06-26","330682000000091","2016-11","0","water"
"2017-06-26","330682000000091","2016-12","799","water"
"2017-06-26","330682000000091","2017-01","373","water"
"2017-06-26","330682000000091","2017-02","114","water"
"2017-06-26","330682000000091","2017-03","449","water"
"2017-06-26","330682000000091","2017-04","15","water"
"2017-06-26","330682000000091","2013-07","196951","elec"
"2017-06-26","330682000000091","2013-08","178292","elec"
"2017-06-26","330682000000091","2013-09","185170","elec"
"2017-06-26","330682000000091","2013-10","151238","elec"
"2017-06-26","330682000000091","2013-11","200400","elec"
"2017-06-26","330682000000091","2013-12","197587","elec"
"2017-06-26","330682000000091","2014-01","150323","elec"
"2017-06-26","330682000000091","2014-02","30943","elec"
"2017-06-26","330682000000091","2014-03","187800","elec"
"2017-06-26","330682000000091","2014-04","221292","elec"
"2017-06-26","330682000000091","2014-05","153525","elec"
"2017-06-26","330682000000091","2014-06","151919","elec"
"2017-06-26","330682000000091","2014-07","140004","elec"
"2017-06-26","330682000000091","2014-08","172006","elec"
"2017-06-26","330682000000091","2014-09","173061","elec"
"2017-06-26","330682000000091","2014-10","169010","elec"
"2017-06-26","330682000000091","2014-11","199486","elec"
"2017-06-26","330682000000091","2014-12","192232","elec"
"2017-06-26","330682000000091","2015-01","197738","elec"
"2017-06-26","330682000000091","2015-02","104208","elec"
"2017-06-26","330682000000091","2015-03","77487","elec"
"2017-06-26","330682000000091","2015-04","209619","elec"
"2017-06-26","330682000000091","2015-05","147096","elec"
"2017-06-26","330682000000091","2015-06","150861","elec"
"2017-06-26","330682000000091","2015-07","138773","elec"
"2017-06-26","330682000000091","2015-08","138315","elec"
"2017-06-26","330682000000091","2015-09","138225","elec"
"2017-06-26","330682000000091","2015-10","139642","elec"
"2017-06-26","330682000000091","2015-11","165832","elec"
"2017-06-26","330682000000091","2015-12","152889","elec"
"2017-06-26","330682000000091","2016-01","156781","elec"
"2017-06-26","330682000000091","2016-02","20788","elec"
"2017-06-26","330682000000091","2016-03","103990","elec"
"2017-06-26","330682000000091","2016-04","147144","elec"
"2017-06-26","330682000000091","2016-05","89293","elec"
"2017-06-26","330682000000091","2016-06","60463","elec"
"2017-06-26","330682000000091","2016-07","46717","elec"
"2017-06-26","330682000000091","2016-08","0","elec"
"2017-06-26","330682000000091","2016-09","29837","elec"
"2017-06-26","330682000000091","2016-10","32712","elec"
"2017-06-26","330682000000091","2016-11","40653","elec"
"2017-06-26","330682000000106","2016-02","177","water"
"2017-06-26","330682000000106","2016-03","3","water"
"2017-06-26","330682000000106","2013-07","429","elec"
"2017-06-26","330682000000106","2013-08","250","elec"
"2017-06-26","330682000000106","2013-09","232","elec"
"2017-06-26","330682000000106","2013-10","230","elec"
"2017-06-26","330682000000106","2013-11","246","elec"
"2017-06-26","330682000000106","2013-12","240","elec"
"2017-06-26","330682000000106","2014-01","250","elec"
"2017-06-26","330682000000106","2014-02","221","elec"
"2017-06-26","330682000000106","2014-03","235","elec"
"2017-06-26","330682000000106","2014-04","488","elec"
"2017-06-26","330682000000106","2014-05","377","elec"
"2017-06-26","330682000000106","2014-06","277","elec"
"2017-06-26","330682000000106","2014-07","220","elec"
"2017-06-26","330682000000106","2014-08","223","elec"
"2017-06-26","330682000000106","2014-09","238","elec"
